Average across indicators in percent,,,,,,,,,,,,,,,,,,
Data Point,Data for at least two years since 2015,,,,,,,,,,,,,,,,,
Nature,All,,,,,,,,,,,,,,,,,
Analysis Type,Compare countries across all goals,,,,,,,,,,,,,,,,,
Visualization Type,Country-goal matrix,,,,,,,,,,,,,,,,,
Country,World (total) by SDG regions,,,,,,,,,,,,,,,,,
Legend,NA - Not Applicable,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
GeoAreaCode,GeoAreaName,Goal 1,Goal 2,Goal 3,Goal 4,Goal 5,Goal 6,Goal 7,Goal 8,Goal 9,Goal 10,Goal 11,Goal 12,Goal 13,Goal 14,Goal 15,Goal 16,Goal 17
50,Bangladesh,41.9047619047619 %,55.53571428571429 %,68.97435897435896 %,52.666666666666664 %,29.166666666666668 %,71.42857142857143 %,100 %,46.875 %,51.5625 %,54.58333333333333 %,30.555555555555557 %,46.13636363636363 %,15.999999999999998 %,44.70588235294118 %,59.04761904761905 %,24.861111111111114 %,74.6604938271605 %
52,Barbados,22.074829931972793 %,56.785714285714285 %,55.89743589743589 %,27.714285714285715 %,20.833333333333336 %,39.4345238095238 %,100 %,39.58333333333333 %,26.5625 %,32.5 %,16.164021164021168 %,32.95454545454545 %,9.333333333333332 %,24.705882352941178 %,35.17857142857143 %,18.055555555555554 %,48.0246913580247 %
112,Belarus,57.50000000000001 %,42.291666666666664 %,69.87179487179486 %,57.67195767195767 %,29.166666666666668 %,64.88095238095238 %,100 %,57.291666666666664 %,78.57142857142857 %,46.75925925925927 %,49.44444444444444 %,41.59090909090909 %,21.66666666666667 %,20 %,44.76190476190476 %,18.737373737373737 %,62.638888888888886 %
56,Belgium,39.285714285714285 %,55.74404761904762 %,67.94871794871794 %,55.820105820105816 %,9.722222222222223 %,67.00680272108845 %,80 %,83.33333333333334 %,83.92857142857143 %,63.42592592592592 %,33.33333333333333 %,64.16666666666667 %,5 %,85.88235294117646 %,49.76190476190476 %,28.18181818181818 %,47.013888888888886 %
84,Belize,21.666666666666664 %,48.035714285714285 %,67.05128205128203 %,44.00000000000001 %,8.333333333333332 %,58.407738095238095 %,100 %,55.208333333333336 %,37.5 %,35.833333333333336 %,11.11111111111111 %,40 %,5 %,44.70588235294118 %,76.42857142857142 %,23.564814814814817 %,71.69753086419752 %
204,Benin,42.15986394557823 %,53.86904761904761 %,71.79487179487178 %,41.9047619047619 %,11.11111111111111 %,70.38690476190477 %,100 %,46.875 %,43.75 %,45.83333333333333 %,26.65343915343915 %,36.36363636363637 %,21.66666666666667 %,44.117647058823536 %,57.26190476190476 %,20 %,69.75308641975309 %
60,Bermuda,16.90476190476191 %,10.833333333333334 %,9.615384615384617 %,0 %,0 %,28.401360544217685 %,50 %,20.833333333333336 %,42.857142857142854 %,13.88888888888889 %,11.11111111111111 %,33.86363636363636 %,0 %,21.764705882352946 %,21.25 %,6.06060606060606 %,31.041666666666668 %
64,Bhutan,38.894557823129254 %,41.36904761904762 %,71.53846153846153 %,44.142857142857146 %,8.333333333333332 %,69.04761904761905 %,100 %,38.54166666666667 %,37.5 %,50.83333333333333 %,30.02645502645503 %,40 %,21.66666666666667 %,0 %,78.09523809523809 %,24.39814814814815 %,65.40123456790124 %
68,Bolivia (Plurinational State of),57.7891156462585 %,49.285714285714285 %,67.6923076923077 %,44.00000000000001 %,19.444444444444446 %,58.779761904761905 %,100 %,60.416666666666664 %,56.25 %,65.83333333333333 %,22.18253968253968 %,40.22727272727273 %,15.999999999999998 %,12.5 %,59.04761904761905 %,39.25925925925926 %,65.95679012345678 %
535,"Bonaire, Sint Eustatius and Saba",7.142857142857142 %,0 %,3.8461538461538463 %,0 %,0 %,16.666666666666664 %,40 %,2.7777777777777777 %,0 %,2.5 %,0 %,21.21212121212121 %,0 %,21.764705882352946 %,39.58333333333333 %,0 %,2.7777777777777777 %
70,Bosnia and Herzegovina,16.666666666666668 %,46.16071428571429 %,67.94871794871794 %,47.14285714285714 %,16.666666666666664 %,80.27210884353741 %,100 %,68.75 %,80.35714285714286 %,39.81481481481482 %,27.77777777777778 %,45.45454545454545 %,11.666666666666666 %,0 %,58.0952380952381 %,19.343434343434343 %,65.97222222222221 %
72,Botswana,35.4421768707483 %,58.03571428571429 %,69.23076923076923 %,26.333333333333332 %,11.11111111111111 %,73.36309523809523 %,100 %,79.16666666666666 %,65.625 %,44.58333333333333 %,26.87830687830688 %,42.727272727272734 %,20.999999999999996 %,0 %,75.71428571428571 %,22.777777777777782 %,73.17901234567901 %
74,Bouvet Island,0 %,0 %,0 %,0 %,0 %,2.7210884353741496 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,10 %,22.63888888888889 %,0 %,0 %
76,Brazil,48.80952380952381 %,70.53571428571429 %,71.53846153846153 %,67.28571428571428 %,33.33333333333333 %,79.76190476190477 %,100 %,70.83333333333334 %,79.6875 %,68.33333333333333 %,22.59259259259259 %,49.09090909090909 %,11.666666666666666 %,54.70588235294118 %,69.76190476190474 %,33.28703703703704 %,71.79012345679013 %
86,British Indian Ocean Territory,0 %,0 %,0 %,0 %,0 %,0 %,0 %,1.3888888888888888 %,0 %,10 %,0 %,1.515151515151515 %,0 %,10 %,18.47222222222222 %,0 %,5.555555555555555 %
92,British Virgin Islands,10.95238095238095 %,9.583333333333332 %,9.23076923076923 %,20.666666666666664 %,11.11111111111111 %,17.559523809523807 %,50 %,12.5 %,18.75 %,10 %,11.11111111111111 %,27.27272727272727 %,0 %,11.76470588235294 %,27.083333333333332 %,0 %,22.68518518518519 %
96,Brunei Darussalam,16.54761904761905 %,22.61904761904762 %,67.17948717948718 %,52.476190476190474 %,20.833333333333336 %,35.26785714285714 %,80 %,56.25 %,40.625 %,37.5 %,17.77777777777778 %,38.40909090909091 %,6.999999999999999 %,25.294117647058822 %,40.71428571428571 %,14.351851851851851 %,43.364197530864196 %
100,Bulgaria,51.78571428571429 %,60.11904761904761 %,71.79487179487178 %,49.47089947089947 %,22.22222222222222 %,68.36734693877553 %,70 %,66.66666666666666 %,83.92857142857143 %,49.33862433862434 %,36.11111111111111 %,55.07575757575758 %,21.66666666666667 %,76.47058823529412 %,67.38095238095238 %,22.727272727272727 %,51.49305555555556 %
854,Burkina Faso,50.578231292516996 %,56.785714285714285 %,72.43589743589743 %,43.33333333333333 %,4.166666666666666 %,65.02976190476191 %,100 %,46.875 %,40.625 %,44.58333333333333 %,24.365079365079367 %,40.45454545454545 %,20.999999999999996 %,12.5 %,61.42857142857142 %,24.583333333333332 %,74.56790123456788 %
108,Burundi,24.13265306122449 %,46.36904761904761 %,64.74358974358974 %,42.00000000000001 %,6.944444444444445 %,64.4345238095238 %,100 %,41.66666666666667 %,34.375 %,40.833333333333336 %,30.02645502645503 %,31.590909090909093 %,21.66666666666667 %,12.5 %,59.76190476190476 %,22.916666666666664 %,77.99382716049384 %
132,Cabo Verde,35.68027210884353 %,45.95238095238095 %,67.94871794871794 %,44.904761904761905 %,29.166666666666668 %,43.452380952380956 %,100 %,46.875 %,57.8125 %,35.833333333333336 %,23.730158730158728 %,40.22727272727273 %,12 %,44.70588235294118 %,46.96428571428571 %,23.84259259259259 %,71.60493827160495 %
116,Cambodia,24.217687074829932 %,58.452380952380956 %,67.05128205128203 %,60.33333333333333 %,19.444444444444446 %,76.63690476190477 %,100 %,56.25 %,57.8125 %,45.83333333333333 %,23.941798941798943 %,49.09090909090909 %,11.666666666666666 %,34.705882352941174 %,57.38095238095238 %,29.72222222222222 %,76.69753086419753 %
120,Cameroon,29.21768707482993 %,52.202380952380956 %,65.38461538461539 %,42.00000000000001 %,20.833333333333336 %,59.970238095238095 %,100 %,54.166666666666664 %,48.4375 %,53.333333333333336 %,23.10846560846561 %,40 %,9.333333333333332 %,34.705882352941174 %,59.04761904761905 %,26.944444444444443 %,76.88271604938272 %
124,Canada,36.666666666666664 %,59.07738095238094 %,69.87179487179486 %,38.359788359788354 %,18.055555555555554 %,55.44217687074829 %,80 %,68.75 %,83.92857142857143 %,61.838624338624335 %,27.77777777777778 %,57.57575757575758 %,11.666666666666666 %,64.70588235294117 %,71.54761904761905 %,14.191919191919192 %,55.347222222222214 %
136,Cayman Islands,10.95238095238095 %,4.166666666666666 %,1.5384615384615385 %,26.333333333333332 %,0 %,11.309523809523808 %,70 %,12.5 %,20.3125 %,15 %,11.11111111111111 %,36.36363636363637 %,0 %,21.764705882352946 %,43.333333333333336 %,5.555555555555555 %,36.388888888888886 %
140,Central African Republic,15.714285714285712 %,50.11904761904762 %,52.56410256410257 %,11.428571428571429 %,4.166666666666666 %,68.60119047619048 %,100 %,41.66666666666667 %,31.25 %,35.833333333333336 %,11.11111111111111 %,39.090909090909086 %,0 %,0 %,61.42857142857142 %,13.541666666666666 %,73.95061728395062 %
