Average across indicators in percent,,,,,,,,,,,,,,,,,,
Data Point,Data for at least two years since 2015,,,,,,,,,,,,,,,,,
Nature,All,,,,,,,,,,,,,,,,,
Analysis Type,Compare countries across all goals,,,,,,,,,,,,,,,,,
Visualization Type,Country-goal matrix,,,,,,,,,,,,,,,,,
Country,World (total) by SDG regions,,,,,,,,,,,,,,,,,
Legend,NA - Not Applicable,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
GeoAreaCode,GeoAreaName,Goal 1,Goal 2,Goal 3,Goal 4,Goal 5,Goal 6,Goal 7,Goal 8,Goal 9,Goal 10,Goal 11,Goal 12,Goal 13,Goal 14,Goal 15,Goal 16,Goal 17
238,Falkland Islands (Malvinas),7.142857142857142 %,6.666666666666667 %,0 %,0 %,0 %,10.119047619047619 %,40 %,2.7777777777777777 %,0 %,12.5 %,5.555555555555555 %,12.12121212121212 %,0 %,11.176470588235295 %,27.083333333333332 %,0 %,19.444444444444446 %
234,Faroe Islands,3.571428571428571 %,10.535714285714285 %,3.8461538461538463 %,0 %,0 %,6.802721088435374 %,50 %,2.7777777777777777 %,17.857142857142858 %,11.11111111111111 %,5.555555555555555 %,25.757575757575758 %,0 %,41.17647058823529 %,27.083333333333332 %,0 %,22.395833333333332 %
242,Fiji,34.166666666666664 %,48.035714285714285 %,62.30769230769231 %,36.285714285714285 %,20.833333333333336 %,73.88392857142857 %,100 %,50 %,46.875 %,38.333333333333336 %,26.851851851851848 %,40.68181818181818 %,16.666666666666668 %,34.705882352941174 %,64.04761904761905 %,20.78703703703704 %,77.90123456790124 %
246,Finland,52.976190476190474 %,50.74404761904761 %,67.94871794871794 %,57.407407407407405 %,33.33333333333333 %,65.98639455782312 %,80 %,75 %,83.92857142857143 %,61.838624338624335 %,52.77777777777778 %,64.16666666666667 %,21.66666666666667 %,64.70588235294117 %,78.09523809523809 %,31.717171717171716 %,53.68055555555556 %
250,France,46.156462585034014 %,50.74404761904761 %,71.79487179487178 %,55.820105820105816 %,33.33333333333333 %,65.98639455782312 %,80 %,83.33333333333334 %,83.92857142857143 %,71.56084656084656 %,51.87830687830688 %,64.16666666666667 %,20.999999999999996 %,65.88235294117646 %,65.5952380952381 %,40.303030303030305 %,48.05555555555556 %
254,French Guiana,13.095238095238097 %,9.583333333333332 %,5.384615384615384 %,0 %,0 %,29.613095238095234 %,20 %,2.7777777777777777 %,4.166666666666666 %,12.5 %,5.555555555555555 %,28.257575757575758 %,0 %,14.117647058823529 %,51.24999999999999 %,2.7777777777777777 %,9.444444444444445 %
258,French Polynesia,7.142857142857142 %,12.20238095238095 %,5.384615384615384 %,0 %,0 %,23.809523809523807 %,90 %,29.166666666666668 %,18.75 %,12.5 %,5.555555555555555 %,27.27272727272727 %,0 %,21.176470588235293 %,49.583333333333336 %,4.166666666666666 %,38.24074074074073 %
260,French Southern Territories,0 %,0 %,0 %,0 %,0 %,5.952380952380952 %,0 %,0 %,0 %,10 %,0 %,0 %,0 %,10.588235294117647 %,26.805555555555554 %,0 %,5.555555555555555 %
266,Gabon,13.333333333333334 %,48.45238095238095 %,55.769230769230774 %,15.666666666666668 %,4.166666666666666 %,62.05357142857143 %,100 %,41.66666666666667 %,45.3125 %,35.833333333333336 %,11.11111111111111 %,30.909090909090907 %,5 %,14.117647058823529 %,57.26190476190476 %,20.138888888888886 %,66.9753086419753 %
270,Gambia,42.15986394557823 %,48.45238095238095 %,69.23076923076923 %,49.714285714285715 %,6.944444444444445 %,77.08333333333334 %,100 %,66.66666666666666 %,46.875 %,48.33333333333333 %,25.264550264550262 %,40 %,16.666666666666668 %,34.11764705882353 %,53.095238095238095 %,22.5 %,76.69753086419753 %
268,Georgia,61.07142857142858 %,55.952380952380956 %,71.53846153846153 %,54.57142857142857 %,27.77777777777778 %,78.42261904761905 %,100 %,64.58333333333334 %,92.1875 %,49.58333333333333 %,44.99999999999999 %,41.36363636363637 %,21.66666666666667 %,44.70588235294118 %,71.54761904761905 %,27.175925925925924 %,73.3641975308642 %
276,Germany,44.642857142857146 %,56.99404761904761 %,71.79487179487178 %,55.820105820105816 %,22.22222222222222 %,66.58163265306123 %,80 %,79.16666666666666 %,83.92857142857143 %,65.0132275132275 %,32.407407407407405 %,64.16666666666667 %,10.555555555555554 %,75.88235294117646 %,46.547619047619044 %,37.777777777777786 %,47.013888888888886 %
288,Ghana,34.81292517006803 %,58.03571428571429 %,74.35897435897435 %,51.14285714285713 %,8.333333333333332 %,77.67857142857143 %,100 %,56.25 %,51.5625 %,44.404761904761905 %,33.2010582010582 %,44.772727272727266 %,21.66666666666667 %,44.70588235294118 %,61.42857142857142 %,28.055555555555557 %,71.69753086419752 %
292,Gibraltar,8.571428571428571 %,0 %,0 %,22.96296296296296 %,0 %,25.850340136054417 %,30 %,2.7777777777777777 %,19.047619047619047 %,13.88888888888889 %,11.11111111111111 %,16.666666666666664 %,0 %,14.117647058823529 %,27.083333333333332 %,0 %,8.333333333333332 %
300,Greece,38.0952380952381 %,56.99404761904761 %,70.83333333333333 %,48.73015873015872 %,20.833333333333336 %,68.36734693877553 %,80 %,83.33333333333334 %,83.92857142857143 %,55.092592592592595 %,11.11111111111111 %,52.04545454545454 %,5 %,54.70588235294118 %,72.3809523809524 %,26.666666666666668 %,43.888888888888886 %
304,Greenland,16.666666666666664 %,9.583333333333332 %,5.769230769230769 %,0 %,0 %,18.197278911564624 %,50 %,12.5 %,25 %,13.88888888888889 %,5.555555555555555 %,18.181818181818183 %,0 %,21.176470588235293 %,32.916666666666664 %,10.606060606060606 %,20.208333333333332 %
308,Grenada,19.28571428571429 %,35.535714285714285 %,52.43589743589744 %,44.142857142857146 %,18.055555555555554 %,54.01785714285714 %,100 %,42.70833333333333 %,35.9375 %,37.083333333333336 %,5.555555555555555 %,19.318181818181817 %,5 %,24.705882352941178 %,49.345238095238095 %,22.22222222222222 %,67.28395061728395 %
312,Guadeloupe,16.666666666666664 %,5.416666666666667 %,3.8461538461538463 %,0 %,0 %,23.809523809523807 %,20 %,2.7777777777777777 %,1.5625 %,2.5 %,5.555555555555555 %,19.393939393939394 %,0 %,14.117647058823529 %,51.24999999999999 %,2.7777777777777777 %,9.444444444444445 %
316,Guam,7.142857142857142 %,13.333333333333334 %,5.384615384615384 %,0 %,0 %,23.809523809523807 %,50 %,21.527777777777775 %,9.895833333333332 %,12.5 %,5.555555555555555 %,25.757575757575758 %,0 %,11.76470588235294 %,27.083333333333332 %,2.7777777777777777 %,22.037037037037038 %
320,Guatemala,37.26190476190476 %,57.61904761904763 %,69.61538461538463 %,43.19047619047619 %,36.11111111111111 %,66.22023809523809 %,100 %,55.208333333333336 %,64.0625 %,45.83333333333333 %,30.555555555555557 %,42.04545454545455 %,21.66666666666667 %,44.70588235294118 %,69.76190476190474 %,28.611111111111114 %,76.69753086419753 %
831,Guernsey,0 %,0 %,0 %,0 %,0 %,6.802721088435374 %,20 %,0 %,9.523809523809524 %,0 %,5.555555555555555 %,9.090909090909092 %,0 %,11.76470588235294 %,22.916666666666664 %,3.03030303030303 %,2.083333333333333 %
324,Guinea,13.333333333333334 %,53.86904761904761 %,59.61538461538461 %,39.04761904761905 %,15.277777777777779 %,58.92857142857143 %,100 %,54.166666666666664 %,32.8125 %,39.583333333333336 %,11.11111111111111 %,40 %,0 %,44.117647058823536 %,75.71428571428571 %,23.472222222222225 %,68.54938271604938 %
624,Guinea-Bissau,24.608843537414966 %,50.535714285714285 %,64.1025641025641 %,10 %,4.166666666666666 %,69.64285714285714 %,100 %,42.70833333333333 %,31.25 %,35.833333333333336 %,16.87830687830688 %,30.909090909090907 %,4.666666666666666 %,24.117647058823525 %,51.01190476190476 %,22.962962962962965 %,58.45679012345679 %
328,Guyana,20.476190476190474 %,45.11904761904762 %,67.6923076923077 %,44.00000000000001 %,9.722222222222223 %,65.47619047619048 %,100 %,72.91666666666666 %,53.125 %,30.833333333333336 %,11.11111111111111 %,40 %,0 %,34.705882352941174 %,54.88095238095237 %,29.305555555555557 %,64.66049382716048 %
332,Haiti,18.095238095238095 %,52.202380952380956 %,55.512820512820504 %,15.666666666666668 %,2.7777777777777777 %,53.125 %,100 %,33.33333333333333 %,46.875 %,30.833333333333336 %,11.11111111111111 %,37.272727272727266 %,0 %,24.117647058823525 %,57.38095238095238 %,21.296296296296298 %,58.54938271604938 %
334,Heard Island and McDonald Islands,0 %,0 %,0 %,0 %,0 %,5.442176870748299 %,0 %,0 %,0 %,11.11111111111111 %,0 %,0 %,0 %,11.176470588235295 %,26.805555555555554 %,0 %,0 %
336,Holy See,0 %,0 %,3.8461538461538463 %,18.148148148148145 %,0 %,5.442176870748299 %,0 %,0 %,0 %,2.7777777777777777 %,5.555555555555555 %,0.9090909090909092 %,0 %,0 %,24.166666666666668 %,3.03030303030303 %,8.333333333333332 %
340,Honduras,48.333333333333336 %,53.45238095238095 %,67.6923076923077 %,46.047619047619044 %,22.22222222222222 %,76.63690476190477 %,100 %,72.91666666666666 %,67.1875 %,57.08333333333333 %,14.814814814814813 %,40 %,11.666666666666666 %,54.117647058823536 %,67.38095238095238 %,27.916666666666668 %,76.69753086419753 %
348,Hungary,51.44557823129252 %,50.74404761904761 %,69.87179487179486 %,55.820105820105816 %,22.22222222222222 %,75.51020408163266 %,80 %,83.33333333333334 %,82.14285714285714 %,62.03703703703704 %,29.338624338624335 %,61.81818181818181 %,21.66666666666667 %,20 %,78.09523809523809 %,32.22222222222222 %,45.34722222222222 %
352,Iceland,38.0952380952381 %,43.24404761904762 %,66.02564102564101 %,47.248677248677254 %,22.22222222222222 %,56.4625850340136 %,80 %,79.16666666666666 %,83.92857142857143 %,50.92592592592592 %,22.22222222222222 %,60.22727272727273 %,5 %,65.88235294117646 %,50.71428571428571 %,17.626262626262623 %,57.013888888888886 %
356,India,41.547619047619044 %,52.083333333333336 %,65.5128205128205 %,54 %,23.61111111111111 %,68.30357142857143 %,100 %,67.70833333333334 %,82.8125 %,63.33333333333333 %,22.407407407407405 %,51.36363636363637 %,20.333333333333332 %,54.70588235294118 %,78.09523809523809 %,30.555555555555554 %,71.51234567901236 %
360,Indonesia,62.43197278911564 %,75.00000000000001 %,79.23076923076923 %,59.57142857142856 %,20.833333333333336 %,72.47023809523809 %,100 %,68.75 %,82.8125 %,55.833333333333336 %,33.2010582010582 %,49.31818181818181 %,21.66666666666667 %,64.70588235294117 %,59.04761904761905 %,32.77777777777778 %,71.41975308641976 %
364,Iran (Islamic Republic of),24.047619047619047 %,52.61904761904762 %,70.25641025641025 %,63.0952380952381 %,30.555555555555557 %,67.26190476190477 %,100 %,42.70833333333333 %,81.25 %,38.333333333333336 %,16.666666666666664 %,40 %,0 %,34.11764705882353 %,50.71428571428571 %,12.5 %,60.49382716049383 %
368,Iraq,16.768707482993197 %,50.535714285714285 %,67.05128205128203 %,25.666666666666664 %,26.38888888888889 %,70.23809523809523 %,100 %,46.875 %,71.875 %,38.333333333333336 %,14.920634920634921 %,40.45454545454545 %,3.9999999999999996 %,21.176470588235293 %,61.42857142857142 %,18.680555555555557 %,62.80864197530865 %
372,Ireland,52.61904761904762 %,50.74404761904761 %,68.9102564102564 %,47.98941798941799 %,33.33333333333333 %,68.36734693877553 %,80 %,70.83333333333334 %,69.64285714285714 %,50.92592592592592 %,40.833333333333336 %,64.16666666666667 %,20.999999999999996 %,65.88235294117646 %,67.38095238095238 %,21.363636363636367 %,48.05555555555556 %
833,Isle of Man,8.333333333333334 %,0 %,0 %,0 %,0 %,30.612244897959183 %,30 %,2.7777777777777777 %,0 %,0 %,5.555555555555555 %,16.666666666666664 %,0 %,10 %,47.91666666666667 %,6.06060606060606 %,2.7083333333333335 %
376,Israel,27.142857142857142 %,56.57738095238095 %,65.25641025641026 %,56.56084656084656 %,33.33333333333333 %,59.43877551020408 %,80 %,62.5 %,76.78571428571429 %,64.81481481481481 %,47.77777777777777 %,53.86363636363636 %,5 %,14.705882352941178 %,59.04761904761905 %,25.277777777777782 %,44.201388888888886 %
380,Italy,43.57142857142857 %,53.34821428571429 %,71.79487179487178 %,55.820105820105816 %,22.22222222222222 %,61.22448979591838 %,80 %,79.16666666666666 %,83.92857142857143 %,63.42592592592592 %,22.037037037037038 %,63.257575757575765 %,12.999999999999998 %,74.70588235294117 %,76.42857142857142 %,24.646464646464647 %,43.888888888888886 %
388,Jamaica,35.57823129251701 %,50.11904761904762 %,65.5128205128205 %,63.33333333333334 %,29.166666666666668 %,52.45535714285714 %,100 %,59.375 %,51.5625 %,43.33333333333333 %,16.587301587301585 %,40.68181818181818 %,12 %,44.70588235294118 %,61.42857142857142 %,26.620370370370367 %,72.1604938271605 %
392,Japan,34.88095238095238 %,58.03571428571429 %,71.02564102564102 %,26.87830687830688 %,44.44444444444444 %,60.79931972789115 %,80 %,68.75 %,83.92857142857143 %,32.870370370370374 %,32.77777777777778 %,63.257575757575765 %,21.66666666666667 %,63.52941176470589 %,53.095238095238095 %,23.282828282828287 %,52.63888888888888 %
832,Jersey,0 %,0 %,0 %,0 %,0 %,6.802721088435374 %,20 %,0 %,9.523809523809524 %,0 %,5.555555555555555 %,9.090909090909092 %,0 %,11.176470588235295 %,37.916666666666664 %,3.03030303030303 %,2.083333333333333 %
400,Jordan,36.30952380952381 %,46.36904761904762 %,66.7948717948718 %,57.38095238095238 %,27.77777777777778 %,75.44642857142858 %,100 %,68.75 %,73.4375 %,52.08333333333333 %,30.555555555555557 %,52.27272727272727 %,21.66666666666667 %,0.5882352941176471 %,58.0952380952381 %,23.611111111111114 %,71.41975308641976 %
398,Kazakhstan,64.64285714285715 %,51.577380952380956 %,69.35897435897435 %,56.714285714285715 %,29.166666666666668 %,73.36309523809523 %,100 %,63.541666666666664 %,81.25 %,52.916666666666664 %,30.555555555555557 %,56.13636363636364 %,21.66666666666667 %,2.2058823529411766 %,59.04761904761905 %,26.990740740740744 %,71.51234567901236 %
404,Kenya,36.98979591836735 %,60.11904761904761 %,76.92307692307693 %,54 %,31.944444444444443 %,70.38690476190477 %,100 %,42.70833333333333 %,60.9375 %,61.904761904761905 %,25.48941798941799 %,40.45454545454545 %,6 %,55.294117647058826 %,50.71428571428571 %,29.444444444444446 %,78.73456790123457 %
296,Kiribati,31.64965986394558 %,48.035714285714285 %,56.282051282051285 %,42.61904761904762 %,6.944444444444445 %,45.68452380952381 %,100 %,39.58333333333333 %,37.5 %,25.833333333333336 %,24.735449735449734 %,39.090909090909086 %,16.666666666666668 %,14.117647058823529 %,37.67857142857143 %,16.666666666666664 %,66.60493827160494 %
414,Kuwait,28.31632653061225 %,35.327380952380956 %,59.48717948717949 %,45.33333333333333 %,18.055555555555554 %,40.773809523809526 %,80 %,31.25 %,71.875 %,41.904761904761905 %,24.735449735449734 %,54.090909090909086 %,21.66666666666667 %,44.70588235294118 %,51.964285714285715 %,22.777777777777782 %,47.0679012345679 %
417,Kyrgyzstan,62.26190476190476 %,58.03571428571429 %,75.38461538461537 %,48.38095238095238 %,18.055555555555554 %,76.48809523809523 %,100 %,55.208333333333336 %,75 %,48.33333333333333 %,30.555555555555557 %,42.5 %,16.666666666666668 %,12.5 %,59.04761904761905 %,31.666666666666664 %,73.27160493827161 %
418,Lao People's Democratic Republic,19.28571428571429 %,54.285714285714285 %,67.6923076923077 %,38.42857142857142 %,6.944444444444445 %,77.00892857142858 %,100 %,70.83333333333334 %,59.375 %,30.833333333333336 %,11.11111111111111 %,40 %,5 %,0 %,65.71428571428571 %,20.833333333333336 %,75.12345679012346 %
428,Latvia,41.66666666666667 %,54.49404761904761 %,73.71794871794872 %,61.32275132275132 %,22.22222222222222 %,68.36734693877553 %,80 %,75 %,83.92857142857143 %,66.2037037037037 %,16.666666666666664 %,55.07575757575758 %,5 %,54.117647058823536 %,59.04761904761905 %,32.22222222222222 %,38.05555555555556 %
422,Lebanon,33.92857142857143 %,55.952380952380956 %,62.05128205128205 %,41.80952380952381 %,15.277777777777779 %,72.17261904761905 %,90 %,45.83333333333333 %,60.9375 %,40.833333333333336 %,29.166666666666668 %,40 %,21.66666666666667 %,34.11764705882353 %,58.0952380952381 %,23.194444444444446 %,69.4753086419753 %
426,Lesotho,16.904761904761905 %,49.285714285714285 %,59.35897435897435 %,42.00000000000001 %,15.277777777777779 %,78.94345238095238 %,100 %,37.5 %,37.5 %,43.33333333333333 %,11.11111111111111 %,40.45454545454545 %,5 %,0 %,59.345238095238095 %,20.833333333333336 %,70.77160493827161 %
430,Liberia,26.751700680272112 %,44.702380952380956 %,63.46153846153846 %,47.61904761904761 %,9.722222222222223 %,57.217261904761905 %,100 %,51.041666666666664 %,31.25 %,30.833333333333336 %,29.65608465608465 %,30.909090909090907 %,17.666666666666668 %,14.117647058823529 %,58.0952380952381 %,24.95370370370371 %,64.93827160493828 %
434,Libya,13.095238095238097 %,49.702380952380956 %,46.666666666666664 %,10 %,4.166666666666666 %,51.488095238095234 %,90 %,33.33333333333333 %,46.875 %,28.333333333333332 %,11.11111111111111 %,40 %,0 %,24.117647058823525 %,56.01190476190476 %,17.708333333333336 %,48.17901234567901 %
438,Liechtenstein,13.095238095238097 %,4.166666666666666 %,7.6923076923076925 %,6.296296296296296 %,5.555555555555555 %,56.207482993197274 %,30 %,12.5 %,21.428571428571427 %,17.59259259259259 %,11.11111111111111 %,43.409090909090914 %,5 %,0 %,39.82142857142857 %,10.606060606060606 %,18.541666666666668 %
440,Lithuania,49.4047619047619 %,56.99404761904761 %,71.79487179487178 %,69.25925925925927 %,33.33333333333333 %,75.51020408163266 %,80 %,79.16666666666666 %,83.92857142857143 %,68.98148148148148 %,30.925925925925924 %,55.07575757575758 %,21.66666666666667 %,47.05882352941176 %,69.76190476190474 %,37.02020202020203 %,44.93055555555556 %
442,Luxembourg,33.214285714285715 %,49.49404761904762 %,71.79487179487178 %,56.666666666666664 %,22.22222222222222 %,59.863945578231295 %,80 %,75 %,67.85714285714286 %,62.03703703703704 %,30.277777777777782 %,61.81818181818181 %,6.999999999999999 %,20 %,59.88095238095238 %,30.1010101010101 %,48.68055555555555 %
450,Madagascar,26.513605442176875 %,58.03571428571429 %,78.2051282051282 %,45.476190476190474 %,15.277777777777779 %,77.67857142857143 %,100 %,46.875 %,59.375 %,40.833333333333336 %,20.3968253968254 %,40 %,6 %,54.117647058823536 %,76.42857142857142 %,21.805555555555557 %,77.99382716049384 %
454,Malawi,50.11904761904762 %,72.61904761904762 %,76.92307692307693 %,44.04761904761905 %,27.77777777777778 %,75.89285714285714 %,100 %,64.58333333333334 %,46.875 %,50.83333333333333 %,30.09259259259259 %,40 %,16.666666666666668 %,25.735294117647058 %,76.42857142857142 %,19.305555555555557 %,74.93827160493827 %
458,Malaysia,53.656462585034014 %,55.95238095238094 %,75.3846153846154 %,54.666666666666664 %,27.77777777777778 %,67.26190476190477 %,100 %,68.75 %,89.0625 %,56.904761904761905 %,34.1931216931217 %,55.22727272727273 %,21.66666666666667 %,54.70588235294118 %,78.09523809523809 %,34.16666666666667 %,66.60493827160494 %
462,Maldives,34.89795918367347 %,41.785714285714285 %,61.66666666666666 %,51.23809523809524 %,11.11111111111111 %,44.791666666666664 %,100 %,56.25 %,40.625 %,45.83333333333333 %,16.19047619047619 %,40 %,10.333333333333332 %,44.70588235294118 %,39.345238095238095 %,22.083333333333332 %,69.5679012345679 %
466,Mali,38.92857142857143 %,72.61904761904762 %,76.28205128205127 %,33.333333333333336 %,5.555555555555555 %,67.63392857142858 %,100 %,51.041666666666664 %,46.875 %,45.83333333333333 %,12.222222222222223 %,40 %,1.9999999999999998 %,25 %,53.214285714285715 %,18.26388888888889 %,76.04938271604938 %
470,Malta,34.523809523809526 %,49.49404761904762 %,67.94871794871794 %,59.1005291005291 %,19.444444444444446 %,52.04081632653062 %,80 %,64.58333333333334 %,83.92857142857143 %,53.703703703703695 %,16.666666666666664 %,61.13636363636363 %,5 %,44.70588235294118 %,32.67857142857143 %,26.81818181818182 %,37.74305555555556 %
584,Marshall Islands,33.92857142857143 %,22.916666666666668 %,35.128205128205124 %,47 %,8.333333333333332 %,42.55952380952381 %,100 %,52.083333333333336 %,29.166666666666668 %,25.833333333333336 %,28.703703703703702 %,30.909090909090907 %,16.666666666666668 %,41.76470588235294 %,36.96428571428571 %,15.972222222222223 %,51.60493827160494 %
474,Martinique,16.666666666666664 %,5.416666666666667 %,3.8461538461538463 %,0 %,0 %,24.404761904761905 %,20 %,11.11111111111111 %,5.729166666666666 %,2.5 %,5.555555555555555 %,28.484848484848484 %,0 %,14.117647058823529 %,53.333333333333336 %,0 %,9.444444444444445 %
478,Mauritania,18.095238095238095 %,57.61904761904763 %,67.94871794871794 %,42.714285714285715 %,4.166666666666666 %,53.720238095238095 %,100 %,46.875 %,37.5 %,34.583333333333336 %,11.11111111111111 %,30.909090909090907 %,5 %,24.117647058823525 %,59.04761904761905 %,19.86111111111111 %,69.4753086419753 %
480,Mauritius,30.799319727891156 %,65.11904761904762 %,66.15384615384615 %,63.33333333333334 %,30.555555555555557 %,42.55952380952381 %,100 %,71.875 %,76.5625 %,42.08333333333333 %,37.804232804232804 %,54.77272727272727 %,21.66666666666667 %,54.70588235294118 %,59.345238095238095 %,24.02777777777778 %,72.71604938271605 %
175,Mayotte,7.142857142857142 %,0 %,5.384615384615384 %,0 %,0 %,23.809523809523807 %,20 %,2.7777777777777777 %,5.729166666666666 %,12.5 %,11.11111111111111 %,12.12121212121212 %,0 %,11.176470588235295 %,31.66666666666667 %,0 %,9.444444444444445 %
484,Mexico,60.83333333333334 %,72.61904761904762 %,77.30769230769229 %,70.14285714285714 %,19.444444444444446 %,82.36607142857143 %,100 %,72.91666666666666 %,82.8125 %,72.08333333333333 %,48.33333333333333 %,49.09090909090909 %,21.66666666666667 %,64.70588235294117 %,73.92857142857142 %,51.52777777777777 %,72.1604938271605 %
583,Micronesia (Federated States of),32.39795918367347 %,22.61904761904762 %,45.38461538461539 %,36.333333333333336 %,4.166666666666666 %,23.660714285714285 %,100 %,29.166666666666668 %,31.25 %,32.97619047619048 %,20.634920634920636 %,30 %,16.666666666666668 %,24.117647058823525 %,45.29761904761905 %,16.435185185185183 %,50.49382716049382 %
492,Monaco,21.071428571428573 %,4.166666666666666 %,25 %,22.96296296296296 %,4.166666666666666 %,44.89795918367347 %,20 %,12.5 %,23.214285714285715 %,6.481481481481481 %,30.555555555555557 %,32.95454545454545 %,21.66666666666667 %,1.1764705882352942 %,28.92857142857143 %,8.585858585858585 %,18.645833333333332 %
496,Mongolia,61.564625850340136 %,64.80654761904762 %,65.5128205128205 %,56.95238095238094 %,33.33333333333333 %,76.48809523809523 %,100 %,75 %,78.125 %,40.833333333333336 %,26.283068783068785 %,50 %,20.999999999999996 %,0 %,78.09523809523809 %,29.583333333333332 %,73.4567901234568 %
499,Montenegro,49.13265306122449 %,50.74404761904761 %,62.17948717948717 %,48.73015873015872 %,19.444444444444446 %,73.12925170068027 %,100 %,46.875 %,58.92857142857143 %,39.81481481481482 %,32.80423280423281 %,36.81818181818181 %,19.444444444444446 %,34.11764705882353 %,61.42857142857142 %,16.767676767676768 %,49.40972222222222 %
500,Montserrat,10.95238095238095 %,11.666666666666666 %,19.48717948717949 %,34.904761904761905 %,0 %,22.61904761904762 %,60 %,25 %,22.916666666666664 %,25.833333333333336 %,5.555555555555555 %,22.727272727272727 %,0 %,21.176470588235293 %,39.58333333333333 %,2.7777777777777777 %,32.407407407407405 %
504,Morocco,21.92176870748299 %,66.36904761904762 %,57.43589743589743 %,55.333333333333336 %,29.166666666666668 %,78.57142857142858 %,100 %,55.208333333333336 %,64.0625 %,44.404761904761905 %,22.023809523809522 %,49.09090909090909 %,15 %,44.70588235294118 %,75.71428571428571 %,24.90740740740741 %,71.23456790123457 %
508,Mozambique,34.01360544217687 %,51.36904761904763 %,64.74358974358974 %,20.666666666666664 %,15.277777777777779 %,53.720238095238095 %,100 %,54.166666666666664 %,48.4375 %,40.833333333333336 %,17.989417989417987 %,40 %,11.666666666666666 %,24.705882352941178 %,67.38095238095238 %,20.555555555555557 %,75.58641975308642 %
104,Myanmar,57.46598639455781 %,58.03571428571429 %,68.97435897435896 %,51.23809523809524 %,9.722222222222223 %,76.63690476190477 %,100 %,72.91666666666666 %,85.9375 %,40.833333333333336 %,28.822751322751323 %,41.13636363636364 %,15.333333333333332 %,44.117647058823536 %,69.76190476190474 %,30.34722222222222 %,74.01234567901234 %
516,Namibia,37.15986394557822 %,58.03571428571429 %,57.05128205128205 %,43.42857142857143 %,19.444444444444446 %,61.904761904761905 %,100 %,67.70833333333334 %,64.0625 %,43.33333333333333 %,28.968253968253972 %,40 %,21.66666666666667 %,44.70588235294118 %,61.42857142857142 %,25.277777777777782 %,66.79012345679013 %
520,Nauru,30.102040816326525 %,24.702380952380953 %,42.17948717948718 %,36.333333333333336 %,4.166666666666666 %,22.61904761904762 %,100 %,16.666666666666664 %,34.375 %,25.833333333333336 %,24.365079365079367 %,20.909090909090907 %,15.999999999999998 %,31.176470588235293 %,36.96428571428571 %,12.5 %,45.432098765432094 %
524,Nepal,36.07142857142858 %,55.53571428571429 %,80.51282051282051 %,41.9047619047619 %,27.77777777777778 %,69.04761904761905 %,100 %,51.041666666666664 %,53.125 %,44.58333333333333 %,30.555555555555557 %,40.22727272727273 %,16.666666666666668 %,12.5 %,75.71428571428571 %,27.916666666666668 %,77.1604938271605 %
528,Netherlands (Kingdom of the),47.61904761904761 %,56.99404761904761 %,66.02564102564101 %,55.079365079365076 %,33.33333333333333 %,59.523809523809526 %,80 %,79.16666666666666 %,83.92857142857143 %,71.56084656084656 %,27.314814814814813 %,64.16666666666667 %,11.666666666666666 %,75.88235294117646 %,59.04761904761905 %,34.74747474747475 %,47.43055555555556 %
530,Netherlands Antilles  [former],0 %,0 %,0 %,0 %,0 %,0 %,0 %,1.3888888888888888 %,0 %,0 %,0 %,1.515151515151515 %,0 %,0 %,0 %,0 %,0 %
540,New Caledonia,8.333333333333334 %,18.45238095238095 %,5.384615384615384 %,10.666666666666666 %,1.3888888888888888 %,23.809523809523807 %,90 %,31.25 %,26.5625 %,12.5 %,5.555555555555555 %,27.27272727272727 %,0 %,11.176470588235295 %,32.916666666666664 %,4.166666666666666 %,30.185185185185187 %
554,New Zealand,37.58503401360544 %,39.910714285714285 %,66.02564102564101 %,18.730158730158728 %,16.666666666666664 %,62.58503401360544 %,80 %,66.66666666666666 %,83.92857142857143 %,43.98148148148148 %,28.730158730158735 %,53.25757575757576 %,20.999999999999996 %,74.70588235294117 %,69.76190476190474 %,23.686868686868685 %,55.76388888888888 %
558,Nicaragua,25 %,49.70238095238095 %,55.512820512820504 %,15.714285714285714 %,4.166666666666666 %,57.886904761904766 %,100 %,46.875 %,57.8125 %,45.83333333333333 %,13.333333333333334 %,30.909090909090907 %,0 %,44.70588235294118 %,67.38095238095238 %,23.333333333333336 %,68.91975308641976 %
562,Niger,35.357142857142854 %,57.61904761904763 %,72.43589743589743 %,63.33333333333334 %,4.166666666666666 %,65.32738095238095 %,100 %,38.54166666666667 %,59.375 %,43.33333333333333 %,30.555555555555557 %,41.13636363636364 %,16.666666666666668 %,0 %,50.71428571428571 %,24.583333333333332 %,70.8641975308642 %
566,Nigeria,31.428571428571423 %,68.03571428571429 %,80.51282051282051 %,27.666666666666668 %,23.61111111111111 %,78.19940476190477 %,100 %,64.58333333333334 %,51.5625 %,59.583333333333336 %,16.666666666666664 %,49.09090909090909 %,5 %,24.705882352941178 %,78.09523809523809 %,31.851851851851848 %,66.0493827160494 %
